_1	3	2.995732
_10	3	2.995732
_11	3	2.995732
_12	3	2.995732
_13	3	2.995732
_14	3	2.995732
_15	3	2.995732
_16	3	2.995732
_17	3	2.995732
_18	3	2.995732
_19	3	2.995732
_2	3	2.995732
_20	3	2.995732
_21	3	2.995732
_22	3	2.995732
_23	3	2.995732
_24	3	2.995732
_25	3	2.995732
_26	3	2.995732
_27	3	2.995732
_28	3	2.995732
_29	3	2.995732
_3	3	2.995732
_30	3	2.995732
_31	3	2.995732
_34	3	2.995732
_4	3	2.995732
_5	3	2.995732
_6	3	2.995732
_7	3	2.995732
_8	3	2.995732
_9	3	2.995732
_a	3	2.995732
_a_	3	2.995732
_absolutely_	3	2.995732
_accurately_	3	2.995732
_acherontia	3	2.995732
_al	3	2.995732
_albemarle	3	2.995732
_all	3	2.995732
_all_	3	2.995732
_always_	3	2.995732
_an	3	2.995732
_another_	3	2.995732
_apropos_	3	2.995732
_are_	3	2.995732
_are_waiting	3	2.995732
_ask	3	2.995732
_at	3	2.995732
_b_	3	2.995732
_before	3	2.995732
_boyar_	3	2.995732
_boyars_	3	2.995732
_brought	3	2.995732
_budapesth	3	2.995732
_by	3	2.995732
_by_	3	2.995732
_chapelle	3	2.995732
_children_	3	2.995732
_confidence_	3	2.995732
_could_	3	2.995732
_coup_	3	2.995732
_cum	3	2.995732
_czarina	3	2.995732
_dead	3	2.995732
_demeter_	3	2.995732
_do	3	2.995732
_do_	3	2.995732
_dos	3	2.995732
_double	3	2.995732
_dr	3	2.995732
_emma_	3	2.995732
_en	3	2.995732
_evening_	3	2.995732
_every	3	2.995732
_ex	3	2.995732
_extra	3	2.995732
_face	3	2.995732
_festina	3	2.995732
_fiancã_	3	2.995732
_fiancãe_	3	2.995732
_firstly_we	3	2.995732
_ground	3	2.995732
_have_	3	2.995732
_he_	3	2.995732
_her_	3	2.995732
_hillingham	3	2.995732
_him_	3	2.995732
_him_whom	3	2.995732
_his	3	2.995732
_home_	3	2.995732
_how	3	2.995732
_i	3	2.995732
_ignoratio	3	2.995732
_in	3	2.995732
_in_	3	2.995732
_interview	3	2.995732
_is_	3	2.995732
_it	3	2.995732
_it_	3	2.995732
_jonathan	3	2.995732
_kept	3	2.995732
_knew_	3	2.995732
_know_	3	2.995732
_later	3	2.995732
_later_a	3	2.995732
_later_after	3	2.995732
_later_another	3	2.995732
_later_at	3	2.995732
_later_by	3	2.995732
_later_dr	3	2.995732
_later_glad	3	2.995732
_later_he	3	2.995732
_later_how	3	2.995732
_later_i	3	2.995732
_later_it	3	2.995732
_later_lord	3	2.995732
_later_mina	3	2.995732
_later_oh	3	2.995732
_later_our	3	2.995732
_later_sunset	3	2.995732
_later_we	3	2.995732
_later_when	3	2.995732
_letter	3	2.995732
_lively_	3	2.995732
_look	3	2.995732
_lucy	3	2.995732
_make_	3	2.995732
_may	3	2.995732
_may_	3	2.995732
_me_	3	2.995732
_mem_	3	2.995732
_memorandum	3	2.995732
_midnight_another	3	2.995732
_midnight_i	3	2.995732
_might_	3	2.995732
_mina	3	2.995732
_mirabile	3	2.995732
_must_	3	2.995732
_my_	3	2.995732
_non	3	2.995732
_nosferatu_	3	2.995732
_not_	3	2.995732
_nota	3	2.995732
_note	3	2.995732
_now_	3	2.995732
_october	3	2.995732
_omne	3	2.995732
_omnia	3	2.995732
_our_	3	2.995732
_parti_	3	2.995732
_pasted	3	2.995732
_piccadilly	3	2.995732
_pourparlers_	3	2.995732
_pro_	3	2.995732
_publishers_	3	2.995732
_quatre	3	2.995732
_quite_	3	2.995732
_quã_	3	2.995732
_report	3	2.995732
_reverse	3	2.995732
_rufus	3	2.995732
_same	3	2.995732
_scarborough_	3	2.995732
_second_	3	2.995732
_secondly_	3	2.995732
_selected_	3	2.995732
_shall	3	2.995732
_some_	3	2.995732
_something_	3	2.995732
_somewhere_	3	2.995732
_success_	3	2.995732
_telegram	3	2.995732
_tells_	3	2.995732
_that_	3	2.995732
_the	3	2.995732
_theres	3	2.995732
_think_	3	2.995732
_times_	3	2.995732
_true_	3	2.995732
_twice_	3	2.995732
